item1,item2,item3,value1,value2,value3,part_item1,part_item2,part_item3,part_value1,part_value2,part_value3,reward,agreement,text,convo.id
2,3,1,0,2,2,2,0,1,6,2,2,8,agree,"YOU: hello i would like both books and both balls <eos> THEM: could i get at least the hat and 1 ball ? you can have the rest <eos> YOU: that seems fair . do you absolutely need both items though ? <eos> THEM: i do . in order to make it somewhat worthwile for me <eos> YOU: okay let's do it then . <eos> THEM: deal , thanks <eos> YOU: <selection>",2077
2,0,3,2,2,2,2,2,3,2,2,0,8,agree,"THEM: i would like both books and 1 hat <eos> YOU: books ok and one hat is fine , deal <eos> THEM: <selection>",2078
2,2,3,2,2,0,2,0,3,2,2,2,6,agree,"YOU: i would like both books and 1 hat <eos> THEM: books ok and one hat is fine , deal <eos> YOU: <selection>",2079
2,0,2,0,1,10,2,2,2,1,1,4,10,disagree,YOU: i get the ball you get the rest <eos> THEM: deal <eos> YOU: <selection>,2080
2,2,2,1,1,4,2,0,2,0,1,10,5,disagree,THEM: i get the ball you get the rest <eos> YOU: deal <eos> THEM: <selection>,2081
2,0,1,2,2,4,2,1,1,6,2,1,8,agree,"THEM: i want the hat and 1 book . i can offer you the rest . <eos> YOU: i can give the hat and a book - that works for me <eos> THEM: ok to recap , 1 book to me , and the hat . rest to you , correct ? <eos> YOU: yes <eos> THEM: <selection>",2082
2,1,1,6,2,1,2,0,1,2,2,4,7,agree,"YOU: i want the hat and 1 book . i can offer you the rest . <eos> THEM: i can give the hat and a book - that works for me <eos> YOU: ok to recap , 1 book to me , and the hat . rest to you , correct ? <eos> THEM: yes <eos> YOU: <selection>",2083
2,1,1,5,3,1,2,0,1,4,3,2,7,agree,"YOU: what if i take 1 book , 1 hat and 1 ball <eos> THEM: i need the hat . if i can have the hat and two balls you can have two books and one ball <eos> YOU: sorry but i also need the hat <eos> THEM: then can i take all of the balls and one book and you can have the hat and one book <eos> YOU: what if i take the hat and 2 books . you get all the balls <eos> THEM: okay that works ! thank you ! <eos> YOU: <selection>",2084
2,0,1,4,3,2,2,1,1,5,3,1,6,agree,"THEM: what if i take 1 book , 1 hat and 1 ball <eos> YOU: i need the hat . if i can have the hat and two balls you can have two books and one ball <eos> THEM: sorry but i also need the hat <eos> YOU: then can i take all of the balls and one book and you can have the hat and one book <eos> THEM: what if i take the hat and 2 books . you get all the balls <eos> YOU: okay that works ! thank you ! <eos> THEM: <selection>",2085
1,6,1,0,4,1,1,3,1,7,4,0,10,disagree,"THEM: i'm looking for two hats and a book <eos> YOU: book and balls to me , you can have 9 hats <eos> THEM: not into sports , you can have the basketballs <eos> YOU: <selection>",2086
1,3,1,7,4,0,1,6,1,0,4,1,NA,disagree,"YOU: i'm looking for two hats and a book <eos> THEM: book and balls to me , you can have 9 hats <eos> YOU: not into sports , you can have the basketballs <eos> THEM: <selection>",2087
1,1,1,6,3,1,1,4,1,6,3,0,NA,agree,"THEM: i would like the hat and the book . <eos> YOU: i need hat <eos> THEM: i need the hat as well , what can you offer instead ? <eos> YOU: hat worth too much . are we at no deal ? <eos> THEM: i think so . <eos> YOU: ok , we talk until button <eos> THEM: how about if i take the hat and you take the rest ? <eos> YOU: hmmmmm . no , hat is needed , has my name on it <eos> THEM: okay i guess we can't make a deal then . <eos> YOU: no <eos> THEM: <selection>",2088
1,4,1,6,3,0,1,1,1,6,3,1,NA,agree,"YOU: i would like the hat and the book . <eos> THEM: i need hat <eos> YOU: i need the hat as well , what can you offer instead ? <eos> THEM: hat worth too much . are we at no deal ? <eos> YOU: i think so . <eos> THEM: ok , we talk until button <eos> YOU: how about if i take the hat and you take the rest ? <eos> THEM: hmmmmm . no , hat is needed , has my name on it <eos> YOU: okay i guess we can't make a deal then . <eos> THEM: no <eos> YOU: <selection>",2089
1,0,1,7,3,1,1,3,1,7,3,0,NA,agree,"THEM: i need one of each <eos> YOU: you can have everything except the hat <eos> THEM: i need the hat to make the math work <eos> YOU: yep me too <eos> THEM: then no deal : ( <eos> YOU: okay , no deal <eos> THEM: no deal <eos> YOU: no deal <eos> THEM: no deal <eos> YOU: no deal <eos> THEM: <selection>",2090
1,3,1,7,3,0,1,0,1,7,3,1,NA,agree,"YOU: i need one of each <eos> THEM: you can have everything except the hat <eos> YOU: i need the hat to make the math work <eos> THEM: yep me too <eos> YOU: then no deal : ( <eos> THEM: okay , no deal <eos> YOU: no deal <eos> THEM: no deal <eos> YOU: no deal <eos> THEM: no deal <eos> YOU: <selection>",2091
2,4,1,2,3,0,2,0,1,7,3,1,8,agree,YOU: if i can have the books and hat youcan have them balls to motor boat or do whatever you want with <eos> THEM: i need the hat and two balls <eos> YOU: alright <eos> THEM: okay thank you ! <eos> YOU: <selection>,2092
2,0,1,7,3,1,2,4,1,2,3,0,9,agree,THEM: if i can have the books and hat youcan have them balls to motor boat or do whatever you want with <eos> YOU: i need the hat and two balls <eos> THEM: alright <eos> YOU: okay thank you ! <eos> THEM: <selection>,2093
3,0,2,2,1,6,3,1,2,0,1,7,6,disagree,"THEM: hello ! how about i keep the basketball , and you can have all the hats and books ? <eos> YOU: i need the ball . it's 8 for me . <eos> THEM: i need the ball as well . <eos> YOU: so no deal till button . <eos> THEM: you're seriously not willing to barge with anything else ? <eos> YOU: anything else would only get me 2 points ? why would i make a deal like that ? <eos> THEM: part of being an adult is understanding that not everything is fair . <eos> YOU: <selection>",2094
3,0,3,1,1,7,3,1,3,0,1,7,NA,agree,THEM: if i can have the ball and the books you can have the hats <eos> YOU: thank you but i would like the hats and ball <eos> THEM: i can not give up the ball . i need the ball and at least two books or i can not make a deal <eos> YOU: looks like we wont be able to make a deal <eos> THEM: okay i'm sorry . no deal . <eos> YOU: i understand . no deal <eos> THEM: no deal . <eos> YOU: no deal <eos> THEM: no deal <eos> YOU: no deal <eos> THEM: wait . i would be willing to accept the ball if you would take everything else <eos> YOU: no deal <eos> THEM: <selection>,2095
3,1,3,0,1,7,3,0,3,1,1,7,NA,agree,YOU: if i can have the ball and the books you can have the hats <eos> THEM: thank you but i would like the hats and ball <eos> YOU: i can not give up the ball . i need the ball and at least two books or i can not make a deal <eos> THEM: looks like we wont be able to make a deal <eos> YOU: okay i'm sorry . no deal . <eos> THEM: i understand . no deal <eos> YOU: no deal . <eos> THEM: no deal <eos> YOU: no deal <eos> THEM: no deal <eos> YOU: wait . i would be willing to accept the ball if you would take everything else <eos> THEM: no deal <eos> YOU: <selection>,2096
2,2,2,3,1,0,2,1,2,3,1,2,7,agree,"THEM: hello <eos> YOU: hello , you can one ball <eos> THEM: i want to keep the hats and the ball ? <eos> YOU: one book and one vball for you <eos> THEM: i want the hats too . a ball and hats . you can have all the books . <eos> YOU: no deal <eos> THEM: okay . how about i get a hat and a ball ? <eos> YOU: deal <eos> THEM: <selection>",2097
2,1,2,3,1,2,2,2,2,3,1,0,5,agree,"YOU: hello <eos> THEM: hello , you can one ball <eos> YOU: i want to keep the hats and the ball ? <eos> THEM: one book and one vball for you <eos> YOU: i want the hats too . a ball and hats . you can have all the books . <eos> THEM: no deal <eos> YOU: okay . how about i get a hat and a ball ? <eos> THEM: deal <eos> YOU: <selection>",2098
1,1,2,3,3,1,1,2,2,1,3,2,6,agree,"YOU: i'd like the two hats , rest is negotiable . <eos> THEM: that seems pretty fair . <eos> YOU: well , i said negotiable ; were you looking to keep everything else or share ? : ) <eos> THEM: keep <eos> YOU: would you be willing to share either the book or 1 ball ? <eos> THEM: no , sorry . <eos> YOU: alright then . . i suppose i'll take the hats . <eos> THEM: <selection>",2099
1,2,2,1,3,2,1,1,2,3,3,1,8,agree,"THEM: i'd like the two hats , rest is negotiable . <eos> YOU: that seems pretty fair . <eos> THEM: well , i said negotiable ; were you looking to keep everything else or share ? : ) <eos> YOU: keep <eos> THEM: would you be willing to share either the book or 1 ball ? <eos> YOU: no , sorry . <eos> THEM: alright then . . i suppose i'll take the hats . <eos> YOU: <selection>",2100
2,1,1,8,3,0,2,2,1,3,3,1,9,agree,"THEM: may i have 1 hat and 1 book ? <eos> YOU: nah , im really gonna need the hat <eos> THEM: ok . i'll take three balls and a book . <eos> YOU: <selection>",2101
2,2,1,3,3,1,2,1,1,8,3,0,5,agree,"YOU: may i have 1 hat and 1 book ? <eos> THEM: nah , im really gonna need the hat <eos> YOU: ok . i'll take three balls and a book . <eos> THEM: <selection>",2102
1,8,2,1,2,0,1,0,2,1,2,4,10,agree,YOU: i need 1 book and 2 hats <eos> THEM: i think i can live with that <eos> YOU: thanks <eos> THEM: n / p <eos> YOU: <selection>,2103
1,0,2,1,2,4,1,8,2,1,2,0,8,agree,THEM: i need 1 book and 2 hats <eos> YOU: i think i can live with that <eos> THEM: thanks <eos> YOU: n / p <eos> THEM: <selection>,2104
3,1,1,6,1,1,3,1,1,7,1,0,4,agree,"THEM: i need the hat , the rest to you <eos> YOU: i also need the hat <eos> THEM: i can't compromise on this , sorry <eos> YOU: i take everything and leave you the hat then <eos> THEM: deal <eos> YOU: <selection>",2105
3,1,1,7,1,0,3,1,1,6,1,1,7,agree,"YOU: i need the hat , the rest to you <eos> THEM: i also need the hat <eos> YOU: i can't compromise on this , sorry <eos> THEM: i take everything and leave you the hat then <eos> YOU: deal <eos> THEM: <selection>",2106
3,0,1,7,3,1,3,3,1,1,3,0,10,agree,"YOU: hi , i need the hat and 3 balls <eos> THEM: ok deal <eos> YOU: <selection>",2107
3,3,1,1,3,0,3,0,1,7,3,1,9,agree,"THEM: hi , i need the hat and 3 balls <eos> YOU: ok deal <eos> THEM: <selection>",2108
1,8,3,0,2,1,1,2,3,2,2,1,10,agree,"YOU: i'd like the book and the balls , you can have all the hats . <eos> THEM: deal . <eos> YOU: <selection>",2109
1,2,3,2,2,1,1,8,3,0,2,1,6,agree,"THEM: i'd like the book and the balls , you can have all the hats . <eos> YOU: deal . <eos> THEM: <selection>",2110
4,0,1,6,1,4,4,1,1,6,1,0,10,disagree,"YOU: i want one of each . <eos> THEM: is the ball of high value for you ? <eos> YOU: somewhat , but if you want the ball , you can have that . and i'll take only the hat . <eos> THEM: that's my dilemma , how about i take hat , you take the ball and 3 books ? <eos> YOU: ok . <eos> THEM: <selection>",2111
4,1,1,6,1,0,4,0,1,6,1,4,7,disagree,"THEM: i want one of each . <eos> YOU: is the ball of high value for you ? <eos> THEM: somewhat , but if you want the ball , you can have that . and i'll take only the hat . <eos> YOU: that's my dilemma , how about i take hat , you take the ball and 3 books ? <eos> THEM: ok . <eos> YOU: <selection>",2112
2,1,1,4,2,2,2,0,1,2,2,4,7,disagree,"YOU: i would like a book , a hat , and a ball . <eos> THEM: how about i keep the 2 balls , and the hat , and you can have the books ? <eos> YOU: i can't agree to that . <eos> THEM: <selection>",2113
3,0,1,0,1,10,3,2,1,3,1,1,10,agree,YOU: ill keep the ball you can have eveything else <eos> THEM: deal <eos> YOU: <selection>,2114
3,2,1,3,1,1,3,0,1,0,1,10,9,agree,THEM: ill keep the ball you can have eveything else <eos> YOU: deal <eos> THEM: <selection>,2115
1,4,1,6,4,0,1,6,1,0,4,1,6,agree,"YOU: i need the book and the hat <eos> THEM: you can have the hat but that book is my favorite so i need to keep it . <eos> YOU: then i need the hat and 3 ballls <eos> THEM: how about the hat and two balls ? <eos> YOU: not possible <eos> THEM: okay . i'll take the book and one ball , you can have the rest . <eos> YOU: <selection>",2116
1,6,1,0,4,1,1,4,1,6,4,0,7,agree,"THEM: i need the book and the hat <eos> YOU: you can have the hat but that book is my favorite so i need to keep it . <eos> THEM: then i need the hat and 3 ballls <eos> YOU: how about the hat and two balls ? <eos> THEM: not possible <eos> YOU: okay . i'll take the book and one ball , you can have the rest . <eos> THEM: <selection>",2117
2,3,1,4,3,0,2,0,1,4,3,2,10,disagree,YOU: what would you like today ? <eos> THEM: the bat and two balls . <eos> YOU: you can have the balls but it will be hard to use in a baseball game . i would like the books to read while wearing my hat out in the sun <eos> THEM: i meant to type the balls and the hat . <eos> YOU: i need the hat but might can sacrifice a book <eos> THEM: <selection>,2118
2,2,1,2,4,1,2,5,1,0,4,0,4,agree,THEM: i need 2 books and 2 balls <eos> YOU: i will giv you 2 balls and a hat <eos> THEM: i need 2 books and the hat <eos> YOU: i ned 2 books and 2 balls <eos> THEM: no deal . <eos> YOU: 2 books and a hat it is <eos> THEM: 2 books and a hat for me ? <eos> YOU: 4 balls for me <eos> THEM: deal <eos> YOU: <selection>,2119
2,5,1,0,4,0,2,2,1,2,4,1,10,agree,YOU: i need 2 books and 2 balls <eos> THEM: i will giv you 2 balls and a hat <eos> YOU: i need 2 books and the hat <eos> THEM: i ned 2 books and 2 balls <eos> YOU: no deal . <eos> THEM: 2 books and a hat it is <eos> YOU: 2 books and a hat for me ? <eos> THEM: 4 balls for me <eos> YOU: deal <eos> THEM: <selection>,2120
2,5,1,0,3,0,2,1,1,2,3,2,10,agree,"YOU: hello , you can have the balls if i can have the books and the hat <eos> THEM: deal . <eos> YOU: cool beans <eos> THEM: <selection>",2121
2,1,1,2,3,2,2,5,1,0,3,0,6,agree,"THEM: hello , you can have the balls if i can have the books and the hat <eos> YOU: deal . <eos> THEM: cool beans <eos> YOU: <selection>",2122
1,5,1,5,3,0,1,1,1,3,3,2,5,agree,THEM: give me hat and 2 balls <eos> YOU: deal <eos> THEM: <selection>,2123
1,1,1,3,3,2,1,5,1,5,3,0,7,agree,YOU: give me hat and 2 balls <eos> THEM: deal <eos> YOU: <selection>,2124
1,5,2,1,3,1,1,8,2,1,3,0,NA,agree,"THEM: i need the book . you can have the rest . <eos> YOU: that won't work , what is another offer <eos> THEM: that's all i can offer . book is 9 . <eos> YOU: i can't do that , no deal then <eos> THEM: okay . no deal till the button then . <eos> YOU: no deal <eos> THEM: no deal . <eos> YOU: no deal <eos> THEM: no deal . <eos> YOU: no deal <eos> THEM: <selection>",2125
1,8,2,1,3,0,1,5,2,1,3,1,NA,agree,"YOU: i need the book . you can have the rest . <eos> THEM: that won't work , what is another offer <eos> YOU: that's all i can offer . book is 9 . <eos> THEM: i can't do that , no deal then <eos> YOU: okay . no deal till the button then . <eos> THEM: no deal <eos> YOU: no deal . <eos> THEM: no deal <eos> YOU: no deal . <eos> THEM: no deal <eos> YOU: <selection>",2126
2,1,1,2,3,2,2,2,1,3,3,1,6,agree,"THEM: i need the books and the hat and you can have the balls <eos> YOU: that doesn't work for me . how about you get the books and one ball ? <eos> THEM: i would need the books and all the balls <eos> YOU: that would only leave me with one hat . not fair . how about you get two balls , and one book ? <eos> THEM: i have to either have the hat and the balls , or the books and the hat , or the books and the balls <eos> YOU: how about the books and the hat ? <eos> THEM: that would work , you get the balls <eos> YOU: perfect ! deal ! <eos> THEM: <selection>",2127
2,2,1,3,3,1,2,1,1,2,3,2,7,agree,"YOU: i need the books and the hat and you can have the balls <eos> THEM: that doesn't work for me . how about you get the books and one ball ? <eos> YOU: i would need the books and all the balls <eos> THEM: that would only leave me with one hat . not fair . how about you get two balls , and one book ? <eos> YOU: i have to either have the hat and the balls , or the books and the hat , or the books and the balls <eos> THEM: how about the books and the hat ? <eos> YOU: that would work , you get the balls <eos> THEM: perfect ! deal ! <eos> YOU: <selection>",2128
2,3,1,0,2,2,2,1,1,4,2,2,8,agree,YOU: i would like both books and a ball <eos> THEM: deal <eos> YOU: <selection>,2129
2,1,1,4,2,2,2,3,1,0,2,2,6,agree,THEM: i would like both books and a ball <eos> YOU: deal <eos> THEM: <selection>,2130
2,4,2,0,2,1,2,2,2,3,2,0,10,agree,"THEM: i'd like hats and 1 book . <eos> YOU: you can have both hats , and 1 ball ? <eos> THEM: balls are worthless . i'll just take the 2 hats and you can have the rest . <eos> YOU: ok <eos> THEM: <selection>",2131
2,2,2,3,2,0,2,4,2,0,2,1,6,agree,"YOU: i'd like hats and 1 book . <eos> THEM: you can have both hats , and 1 ball ? <eos> YOU: balls are worthless . i'll just take the 2 hats and you can have the rest . <eos> THEM: ok <eos> YOU: <selection>",2132
2,1,2,0,2,4,2,0,2,2,2,3,6,agree,"THEM: i would like both basketballs and 1 hat you can have the books and 1 hat <eos> YOU: i have to have both balls , you can have the rest <eos> THEM: i would like at least 1 ball and both hats you can have 1 hat and books <eos> YOU: i have to have both balls <eos> THEM: i can't agree to both balls . i will take 1 ball and 1 hat you can have the rest <eos> YOU: okay <eos> THEM: <selection>",2133
2,0,2,2,2,3,2,1,2,0,2,4,5,agree,"YOU: i would like both basketballs and 1 hat you can have the books and 1 hat <eos> THEM: i have to have both balls , you can have the rest <eos> YOU: i would like at least 1 ball and both hats you can have 1 hat and books <eos> THEM: i have to have both balls <eos> YOU: i can't agree to both balls . i will take 1 ball and 1 hat you can have the rest <eos> THEM: okay <eos> YOU: <selection>",2134
4,1,1,2,2,2,4,0,1,2,2,4,4,agree,"THEM: hi , i just need the balls and the hat <eos> YOU: no deal . i need the hat and 3 books <eos> THEM: hat and 2 books for you <eos> YOU: <selection>",2135
4,0,1,2,2,4,4,1,1,2,2,2,8,agree,"YOU: hi , i just need the balls and the hat <eos> THEM: no deal . i need the hat and 3 books <eos> YOU: hat and 2 books for you <eos> THEM: <selection>",2136
1,1,2,3,3,1,1,2,2,1,3,2,7,agree,THEM: i would like the book all the balls and one hat . <eos> YOU: i would like both hats and two balls <eos> THEM: how about you take both hats and i take the book and all balls . <eos> YOU: how about i take the hats and one ball <eos> THEM: how about you get a hat and the book and i get a hat and 3 balls . <eos> YOU: how about i get one hat and the book and two balls <eos> THEM: no way i could do you get both hats and a ball and i get two balls and the book . <eos> YOU: ok <eos> THEM: ok so you get the hats and a ball i get the book and 2 balls <eos> YOU: <selection>,2137
1,2,2,1,3,2,1,1,2,3,3,1,6,agree,YOU: i would like the book all the balls and one hat . <eos> THEM: i would like both hats and two balls <eos> YOU: how about you take both hats and i take the book and all balls . <eos> THEM: how about i take the hats and one ball <eos> YOU: how about you get a hat and the book and i get a hat and 3 balls . <eos> THEM: how about i get one hat and the book and two balls <eos> YOU: no way i could do you get both hats and a ball and i get two balls and the book . <eos> THEM: ok <eos> YOU: ok so you get the hats and a ball i get the book and 2 balls <eos> THEM: <selection>,2138
1,0,2,5,3,0,1,1,2,3,3,1,10,disagree,YOU: i want the two hats . you can take everything elsr <eos> THEM: i need two hats . . i'm bald and a siamese twin . <eos> YOU: i can not do without the hats <eos> THEM: <selection>,2139
1,1,2,3,3,1,1,0,2,5,3,0,6,disagree,THEM: i want the two hats . you can take everything elsr <eos> YOU: i need two hats . . i'm bald and a siamese twin . <eos> THEM: i can not do without the hats <eos> YOU: <selection>,2140
1,5,1,5,4,0,1,3,1,3,4,1,5,agree,THEM: i would llike the book and the hat . you can have all of the balls . <eos> YOU: how about we split the balls and i get either the hat or book . you can choose . <eos> THEM: okay sounds good . i will take the book . you can have the hat . we will split the balls . have a great night ! <eos> YOU: you too ! <eos> THEM: <selection>,2141
1,3,1,3,4,1,1,5,1,5,4,0,5,agree,YOU: i would llike the book and the hat . you can have all of the balls . <eos> THEM: how about we split the balls and i get either the hat or book . you can choose . <eos> YOU: okay sounds good . i will take the book . you can have the hat . we will split the balls . have a great night ! <eos> THEM: you too ! <eos> YOU: <selection>,2142
4,1,1,5,1,1,4,0,1,2,1,8,7,agree,YOU: i want hat & 2 books <eos> THEM: if i can have the ball and the hat you can have all four books . <eos> YOU: you can have hat if i have 4 books and ball <eos> THEM: i'll give you the hat but then i need the ball and two books . <eos> YOU: okay <eos> THEM: <selection>,2143
4,0,1,2,1,8,4,1,1,5,1,1,8,agree,THEM: i want hat & 2 books <eos> YOU: if i can have the ball and the hat you can have all four books . <eos> THEM: you can have hat if i have 4 books and ball <eos> YOU: i'll give you the hat but then i need the ball and two books . <eos> THEM: okay <eos> YOU: <selection>,2144
2,2,1,6,4,0,2,0,1,6,4,1,NA,agree,YOU: ok would you like all balls and thats it <eos> THEM: i would like the hat and two balls please <eos> YOU: how about you get all balls and i keep the rest <eos> THEM: i need the hat i can not give it up <eos> YOU: lets work towards no deal then <eos> THEM: okay no deal . sorry . <eos> YOU: sorry <eos> THEM: no deal . <eos> YOU: no <eos> THEM: no deal . <eos> YOU: <selection>,2145
2,0,1,6,4,1,2,2,1,6,4,0,NA,agree,THEM: ok would you like all balls and thats it <eos> YOU: i would like the hat and two balls please <eos> THEM: how about you get all balls and i keep the rest <eos> YOU: i need the hat i can not give it up <eos> THEM: lets work towards no deal then <eos> YOU: okay no deal . sorry . <eos> THEM: sorry <eos> YOU: no deal . <eos> THEM: no <eos> YOU: no deal . <eos> THEM: <selection>,2146
2,1,2,4,1,0,2,1,2,2,1,4,8,agree,"THEM: i'll take the hats and ball if you want the books <eos> YOU: no , i need 2 hats at least <eos> THEM: the you take the hats and i'll take everything else <eos> YOU: ok <eos> THEM: <selection>",2147
2,1,2,2,1,4,2,1,2,4,1,0,6,agree,"YOU: i'll take the hats and ball if you want the books <eos> THEM: no , i need 2 hats at least <eos> YOU: the you take the hats and i'll take everything else <eos> THEM: ok <eos> YOU: <selection>",2148
1,0,2,2,2,3,1,2,2,1,2,3,7,agree,"THEM: i would like both balls and the book and you can have both hats <eos> YOU: i can not accept that deal if i can have the hats and one ball you can have one ball and the book <eos> THEM: i will let you have the hats if i can have both balls <eos> YOU: i need the balls as well . i was trying to split the difference . can you offer anything else <eos> THEM: ok , how about i get one of each - one book , one hat and one ball ? <eos> YOU: that will not work for me . i need at least the hats and one ball . . . or both balls and the book . those are the only deals i can accept right now <eos> THEM: ok , what about you get both hats and one ball ? <eos> YOU: okay that works for me . thank you ! <eos> THEM: ok , that leaves me one book and one ball <eos> YOU: that's correct <eos> THEM: deal <eos> YOU: <selection>",2149
1,2,2,1,2,3,1,0,2,2,2,3,5,agree,"YOU: i would like both balls and the book and you can have both hats <eos> THEM: i can not accept that deal if i can have the hats and one ball you can have one ball and the book <eos> YOU: i will let you have the hats if i can have both balls <eos> THEM: i need the balls as well . i was trying to split the difference . can you offer anything else <eos> YOU: ok , how about i get one of each - one book , one hat and one ball ? <eos> THEM: that will not work for me . i need at least the hats and one ball . . . or both balls and the book . those are the only deals i can accept right now <eos> YOU: ok , what about you get both hats and one ball ? <eos> THEM: okay that works for me . thank you ! <eos> YOU: ok , that leaves me one book and one ball <eos> THEM: that's correct <eos> YOU: deal <eos> THEM: <selection>",2150
3,1,2,1,1,5,3,3,2,0,1,1,7,agree,THEM: i would like the books and the ball . <eos> YOU: i need the ball . if i can have the ball and the hats you can have the books <eos> THEM: deal . <eos> YOU: okay thank you ! <eos> THEM: <selection>,2151
3,3,2,0,1,1,3,1,2,1,1,5,9,agree,YOU: i would like the books and the ball . <eos> THEM: i need the ball . if i can have the ball and the hats you can have the books <eos> YOU: deal . <eos> THEM: okay thank you ! <eos> YOU: <selection>,2152
1,6,2,2,2,0,1,8,2,0,2,1,8,disagree,"YOU: i can offer both balls <eos> THEM: i will need the book and something else . <eos> YOU: i can't give the book , i can offer the hats and 1 ball <eos> THEM: <selection>",2153
1,0,1,7,3,1,1,4,1,3,3,1,7,agree,"YOU: gimme the hat and a ball <eos> THEM: nope . i need the book and the hat . <eos> YOU: i need hat , or no deal <eos> THEM: okay if you get the hat - then i take everything else . <eos> YOU: ok <eos> THEM: <selection>",2154
1,4,1,3,3,1,1,0,1,7,3,1,7,agree,"THEM: gimme the hat and a ball <eos> YOU: nope . i need the book and the hat . <eos> THEM: i need hat , or no deal <eos> YOU: okay if you get the hat - then i take everything else . <eos> THEM: ok <eos> YOU: <selection>",2155
2,2,3,2,1,0,2,1,3,1,1,5,6,agree,"THEM: i would like 2 hats and the ball <eos> YOU: what about one hat and the ball ? <eos> THEM: one book , one hat , and the ball <eos> YOU: okay that is fine . <eos> THEM: thanks <eos> YOU: <selection>",2156
2,1,3,1,1,5,2,2,3,2,1,0,7,agree,"YOU: i would like 2 hats and the ball <eos> THEM: what about one hat and the ball ? <eos> YOU: one book , one hat , and the ball <eos> THEM: okay that is fine . <eos> YOU: thanks <eos> THEM: <selection>",2157
1,1,3,3,2,0,1,2,3,2,2,1,6,agree,"YOU: hello , i would like the 3 hats , and you can have the basketballs and book <eos> THEM: i need all the hats or 2 hats and 1 book . <eos> YOU: i'm willing to give you 1 hat , 1 book , and the basketballs while i take 2 hats but that's the best offer i can give <eos> THEM: deal . <eos> YOU: <selection>",2158
1,2,3,2,2,1,1,1,3,3,2,0,6,agree,"THEM: hello , i would like the 3 hats , and you can have the basketballs and book <eos> YOU: i need all the hats or 2 hats and 1 book . <eos> THEM: i'm willing to give you 1 hat , 1 book , and the basketballs while i take 2 hats but that's the best offer i can give <eos> YOU: deal . <eos> THEM: <selection>",2159
1,1,3,1,1,6,1,8,3,0,1,2,7,disagree,THEM: i can part with the hats but would like the book and ball <eos> YOU: i can not part with the ball but can split the hats or book . <eos> THEM: i must have the book . . . i can cede all others <eos> YOU: you an have the books if i can have the others . <eos> THEM: deal <eos> YOU: <selection>,2160
1,8,3,0,1,2,1,1,3,1,1,6,8,disagree,YOU: i can part with the hats but would like the book and ball <eos> THEM: i can not part with the ball but can split the hats or book . <eos> YOU: i must have the book . . . i can cede all others <eos> THEM: you an have the books if i can have the others . <eos> YOU: deal <eos> THEM: <selection>,2161
2,0,2,1,1,8,2,2,2,1,1,4,8,agree,YOU: i would like the ball and the hats . <eos> THEM: i need the ball and the books you can have the hats <eos> YOU: can i take the ball if i give you the rest ? <eos> THEM: sure . <eos> YOU: <selection>,2162
2,2,2,1,1,4,2,0,2,1,1,8,6,agree,THEM: i would like the ball and the hats . <eos> YOU: i need the ball and the books you can have the hats <eos> THEM: can i take the ball if i give you the rest ? <eos> YOU: sure . <eos> THEM: <selection>,2163
1,4,3,2,2,0,1,0,3,2,2,2,6,agree,YOU: can i have the book and a hat ? <eos> THEM: sure ! <eos> YOU: <selection>,2164
1,0,3,2,2,2,1,4,3,2,2,0,8,agree,THEM: can i have the book and a hat ? <eos> YOU: sure ! <eos> THEM: <selection>,2165
4,0,2,5,1,0,4,1,2,2,1,2,10,disagree,YOU: i would like the hats and 1 book <eos> THEM: how about 3 books and 1 hat <eos> YOU: you can have everything else if i can have both hats <eos> THEM: deal <eos> YOU: <selection>,2166
1,0,2,2,2,3,1,8,2,1,2,0,8,agree,THEM: i would like the one book and one hat <eos> YOU: i'd like the two balls and the two hats . <eos> THEM: would you like to split the hats and give me one please ? it is hot here i need the shade <eos> YOU: ok . sounds like a deal . <eos> THEM: <selection>,2167
1,8,2,1,2,0,1,0,2,2,2,3,9,agree,YOU: i would like the one book and one hat <eos> THEM: i'd like the two balls and the two hats . <eos> YOU: would you like to split the hats and give me one please ? it is hot here i need the shade <eos> THEM: ok . sounds like a deal . <eos> YOU: <selection>,2168
2,1,1,8,3,0,2,0,1,7,3,1,9,disagree,YOU: i like 2 hat and 1 ball <eos> THEM: i only have 1 hat and need it but you can have all the balls and 1 book <eos> YOU: okay deal <eos> THEM: <selection>,2169
2,0,1,7,3,1,2,1,1,8,3,0,7,disagree,THEM: i like 2 hat and 1 ball <eos> YOU: i only have 1 hat and need it but you can have all the balls and 1 book <eos> THEM: okay deal <eos> YOU: <selection>,2170
1,2,3,2,2,1,1,8,3,0,2,1,8,agree,THEM: i just want the book <eos> YOU: deal . <eos> THEM: <selection>,2171
1,8,3,0,2,1,1,2,3,2,2,1,8,agree,YOU: i just want the book <eos> THEM: deal . <eos> YOU: <selection>,2172
